mean_accuracy,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.540625,False,1,dadcd_00012,2024-10-19_16-32-12,1729348332,0.17968225479125977,0.17968225479125977,230087,quaoar,10.56.7.46,0.17968225479125977,1
0.753125,False,2,dadcd_00012,2024-10-19_16-32-12,1729348332,0.17036223411560059,0.35004448890686035,230087,quaoar,10.56.7.46,0.35004448890686035,2
0.846875,False,3,dadcd_00012,2024-10-19_16-32-13,1729348333,0.17033886909484863,0.520383358001709,230087,quaoar,10.56.7.46,0.520383358001709,3
0.853125,False,4,dadcd_00012,2024-10-19_16-32-13,1729348333,0.1791372299194336,0.6995205879211426,230087,quaoar,10.56.7.46,0.6995205879211426,4
0.90625,False,5,dadcd_00012,2024-10-19_16-32-13,1729348333,0.1682417392730713,0.8677623271942139,230087,quaoar,10.56.7.46,0.8677623271942139,5
0.86875,False,6,dadcd_00012,2024-10-19_16-32-13,1729348333,0.16731905937194824,1.035081386566162,230087,quaoar,10.56.7.46,1.035081386566162,6
0.884375,False,7,dadcd_00012,2024-10-19_16-32-13,1729348333,0.16921281814575195,1.204294204711914,230087,quaoar,10.56.7.46,1.204294204711914,7
0.9,False,8,dadcd_00012,2024-10-19_16-32-13,1729348333,0.1725757122039795,1.3768699169158936,230087,quaoar,10.56.7.46,1.3768699169158936,8
0.915625,False,9,dadcd_00012,2024-10-19_16-32-14,1729348334,0.17654061317443848,1.553410530090332,230087,quaoar,10.56.7.46,1.553410530090332,9
0.9375,False,10,dadcd_00012,2024-10-19_16-32-14,1729348334,0.1759929656982422,1.7294034957885742,230087,quaoar,10.56.7.46,1.7294034957885742,10
0.89375,False,11,dadcd_00012,2024-10-19_16-32-14,1729348334,0.1869642734527588,1.916367769241333,230087,quaoar,10.56.7.46,1.916367769241333,11
0.921875,False,12,dadcd_00012,2024-10-19_16-32-14,1729348334,0.17026472091674805,2.086632490158081,230087,quaoar,10.56.7.46,2.086632490158081,12
0.90625,False,13,dadcd_00012,2024-10-19_16-32-14,1729348334,0.16417980194091797,2.250812292098999,230087,quaoar,10.56.7.46,2.250812292098999,13
0.909375,False,14,dadcd_00012,2024-10-19_16-32-15,1729348335,0.1684272289276123,2.4192395210266113,230087,quaoar,10.56.7.46,2.4192395210266113,14
0.934375,False,15,dadcd_00012,2024-10-19_16-32-15,1729348335,0.16612577438354492,2.5853652954101562,230087,quaoar,10.56.7.46,2.5853652954101562,15
0.9,False,16,dadcd_00012,2024-10-19_16-32-15,1729348335,0.1666576862335205,2.7520229816436768,230087,quaoar,10.56.7.46,2.7520229816436768,16
0.91875,False,17,dadcd_00012,2024-10-19_16-32-15,1729348335,0.16543102264404297,2.9174540042877197,230087,quaoar,10.56.7.46,2.9174540042877197,17
0.878125,False,18,dadcd_00012,2024-10-19_16-32-15,1729348335,0.1640944480895996,3.0815484523773193,230087,quaoar,10.56.7.46,3.0815484523773193,18
0.953125,False,19,dadcd_00012,2024-10-19_16-32-15,1729348335,0.16805124282836914,3.2495996952056885,230087,quaoar,10.56.7.46,3.2495996952056885,19
0.928125,False,20,dadcd_00012,2024-10-19_16-32-16,1729348336,0.16957569122314453,3.419175386428833,230087,quaoar,10.56.7.46,3.419175386428833,20
0.959375,False,21,dadcd_00012,2024-10-19_16-32-16,1729348336,0.17016172409057617,3.589337110519409,230087,quaoar,10.56.7.46,3.589337110519409,21
0.91875,False,22,dadcd_00012,2024-10-19_16-32-16,1729348336,0.16646814346313477,3.755805253982544,230087,quaoar,10.56.7.46,3.755805253982544,22
0.94375,False,23,dadcd_00012,2024-10-19_16-32-16,1729348336,0.16396045684814453,3.9197657108306885,230087,quaoar,10.56.7.46,3.9197657108306885,23
0.940625,False,24,dadcd_00012,2024-10-19_16-32-16,1729348336,0.16518211364746094,4.084947824478149,230087,quaoar,10.56.7.46,4.084947824478149,24
0.9375,False,25,dadcd_00012,2024-10-19_16-32-17,1729348337,0.17110228538513184,4.256050109863281,230087,quaoar,10.56.7.46,4.256050109863281,25
0.934375,False,26,dadcd_00012,2024-10-19_16-32-17,1729348337,0.16657185554504395,4.422621965408325,230087,quaoar,10.56.7.46,4.422621965408325,26
0.94375,False,27,dadcd_00012,2024-10-19_16-32-17,1729348337,0.16129827499389648,4.583920240402222,230087,quaoar,10.56.7.46,4.583920240402222,27
0.9625,False,28,dadcd_00012,2024-10-19_16-32-17,1729348337,0.15932273864746094,4.743242979049683,230087,quaoar,10.56.7.46,4.743242979049683,28
0.9375,False,29,dadcd_00012,2024-10-19_16-32-17,1729348337,0.157942533493042,4.901185512542725,230087,quaoar,10.56.7.46,4.901185512542725,29
0.925,False,30,dadcd_00012,2024-10-19_16-32-17,1729348337,0.15808725357055664,5.059272766113281,230087,quaoar,10.56.7.46,5.059272766113281,30
0.9375,False,31,dadcd_00012,2024-10-19_16-32-18,1729348338,0.17222929000854492,5.231502056121826,230087,quaoar,10.56.7.46,5.231502056121826,31
0.94375,False,32,dadcd_00012,2024-10-19_16-32-18,1729348338,0.16149473190307617,5.392996788024902,230087,quaoar,10.56.7.46,5.392996788024902,32
0.95,False,33,dadcd_00012,2024-10-19_16-32-18,1729348338,0.16157031059265137,5.554567098617554,230087,quaoar,10.56.7.46,5.554567098617554,33
0.94375,False,34,dadcd_00012,2024-10-19_16-32-18,1729348338,0.16028308868408203,5.714850187301636,230087,quaoar,10.56.7.46,5.714850187301636,34
0.9375,False,35,dadcd_00012,2024-10-19_16-32-18,1729348338,0.15848565101623535,5.873335838317871,230087,quaoar,10.56.7.46,5.873335838317871,35
0.94375,False,36,dadcd_00012,2024-10-19_16-32-18,1729348338,0.15937376022338867,6.03270959854126,230087,quaoar,10.56.7.46,6.03270959854126,36
0.921875,False,37,dadcd_00012,2024-10-19_16-32-19,1729348339,0.16159367561340332,6.194303274154663,230087,quaoar,10.56.7.46,6.194303274154663,37
0.9375,False,38,dadcd_00012,2024-10-19_16-32-19,1729348339,0.16276049613952637,6.3570637702941895,230087,quaoar,10.56.7.46,6.3570637702941895,38
0.95625,False,39,dadcd_00012,2024-10-19_16-32-19,1729348339,0.15707802772521973,6.514141798019409,230087,quaoar,10.56.7.46,6.514141798019409,39
0.953125,False,40,dadcd_00012,2024-10-19_16-32-19,1729348339,0.16145920753479004,6.675601005554199,230087,quaoar,10.56.7.46,6.675601005554199,40
0.94375,False,41,dadcd_00012,2024-10-19_16-32-19,1729348339,0.16241669654846191,6.838017702102661,230087,quaoar,10.56.7.46,6.838017702102661,41
0.94375,False,42,dadcd_00012,2024-10-19_16-32-19,1729348339,0.158797025680542,6.996814727783203,230087,quaoar,10.56.7.46,6.996814727783203,42
0.940625,False,43,dadcd_00012,2024-10-19_16-32-20,1729348340,0.16054630279541016,7.157361030578613,230087,quaoar,10.56.7.46,7.157361030578613,43
0.959375,False,44,dadcd_00012,2024-10-19_16-32-20,1729348340,0.15933465957641602,7.316695690155029,230087,quaoar,10.56.7.46,7.316695690155029,44
0.95625,False,45,dadcd_00012,2024-10-19_16-32-20,1729348340,0.15860891342163086,7.47530460357666,230087,quaoar,10.56.7.46,7.47530460357666,45
0.934375,False,46,dadcd_00012,2024-10-19_16-32-20,1729348340,0.1609663963317871,7.636270999908447,230087,quaoar,10.56.7.46,7.636270999908447,46
0.9625,False,47,dadcd_00012,2024-10-19_16-32-20,1729348340,0.16046571731567383,7.796736717224121,230087,quaoar,10.56.7.46,7.796736717224121,47
0.95625,False,48,dadcd_00012,2024-10-19_16-32-20,1729348340,0.15860795974731445,7.9553446769714355,230087,quaoar,10.56.7.46,7.9553446769714355,48
0.946875,False,49,dadcd_00012,2024-10-19_16-32-21,1729348341,0.16101551055908203,8.116360187530518,230087,quaoar,10.56.7.46,8.116360187530518,49
0.95625,False,50,dadcd_00012,2024-10-19_16-32-21,1729348341,0.16062664985656738,8.276986837387085,230087,quaoar,10.56.7.46,8.276986837387085,50
0.953125,False,51,dadcd_00012,2024-10-19_16-32-21,1729348341,0.1610851287841797,8.438071966171265,230087,quaoar,10.56.7.46,8.438071966171265,51
0.93125,False,52,dadcd_00012,2024-10-19_16-32-21,1729348341,0.17142200469970703,8.609493970870972,230087,quaoar,10.56.7.46,8.609493970870972,52
0.915625,False,53,dadcd_00012,2024-10-19_16-32-21,1729348341,0.16040492057800293,8.769898891448975,230087,quaoar,10.56.7.46,8.769898891448975,53
0.959375,False,54,dadcd_00012,2024-10-19_16-32-21,1729348341,0.160200834274292,8.930099725723267,230087,quaoar,10.56.7.46,8.930099725723267,54
0.921875,False,55,dadcd_00012,2024-10-19_16-32-22,1729348342,0.1605074405670166,9.090607166290283,230087,quaoar,10.56.7.46,9.090607166290283,55
0.971875,False,56,dadcd_00012,2024-10-19_16-32-22,1729348342,0.16144490242004395,9.252052068710327,230087,quaoar,10.56.7.46,9.252052068710327,56
0.953125,False,57,dadcd_00012,2024-10-19_16-32-22,1729348342,0.15966510772705078,9.411717176437378,230087,quaoar,10.56.7.46,9.411717176437378,57
0.953125,False,58,dadcd_00012,2024-10-19_16-32-22,1729348342,0.1604311466217041,9.572148323059082,230087,quaoar,10.56.7.46,9.572148323059082,58
0.959375,False,59,dadcd_00012,2024-10-19_16-32-22,1729348342,0.15805578231811523,9.730204105377197,230087,quaoar,10.56.7.46,9.730204105377197,59
0.9625,False,60,dadcd_00012,2024-10-19_16-32-22,1729348342,0.1598377227783203,9.890041828155518,230087,quaoar,10.56.7.46,9.890041828155518,60
0.9625,False,61,dadcd_00012,2024-10-19_16-32-23,1729348343,0.16263699531555176,10.05267882347107,230087,quaoar,10.56.7.46,10.05267882347107,61
0.921875,False,62,dadcd_00012,2024-10-19_16-32-23,1729348343,0.16045188903808594,10.213130712509155,230087,quaoar,10.56.7.46,10.213130712509155,62
0.971875,False,63,dadcd_00012,2024-10-19_16-32-23,1729348343,0.1610260009765625,10.374156713485718,230087,quaoar,10.56.7.46,10.374156713485718,63
0.94375,False,64,dadcd_00012,2024-10-19_16-32-23,1729348343,0.16203975677490234,10.53619647026062,230087,quaoar,10.56.7.46,10.53619647026062,64
0.946875,False,65,dadcd_00012,2024-10-19_16-32-23,1729348343,0.1605527400970459,10.696749210357666,230087,quaoar,10.56.7.46,10.696749210357666,65
0.9375,False,66,dadcd_00012,2024-10-19_16-32-23,1729348343,0.15968656539916992,10.856435775756836,230087,quaoar,10.56.7.46,10.856435775756836,66
